cv08a013,cv08a014,cv08a015,cv08a016,cv08a017,cv08a018,cv08a019,cv08a020,cv08a021,cv08a022,cv08a023,cv08a024,cv08a025,cv08a026,cv08a027,cv08a028,cv08a029,cv08a030,cv08a031,cv08a032,cv08a033,cv08a034,cv08a035,cv08a036,cv08a037,cv08a038,cv08a039,cv08a040,cv08a041,cv08a042,cv08a043,cv08a044,cv08a045,cv08a046,cv08a076,cv08a077,cv08a078,cv08a079,cv08a080,cv08a081,cv08a082,cv08a083,cv08a084,cv08a085,cv08a086,cv08a087,cv08a088,cv08a089,cv08a090,cv08a091,cv08a092,cv08a093,cv08a094,cv08a095,cv08a096,cv08a097,cv08a101,cv08a103,cv08a155,cv08a156,cv08a157,cv08a158,cv08a159,
5,5,6,6,5,5,5,5,6,6,6,4,7,6,6,7,6,5,5,5,6,5,5,5,5,6,6,5,4,6,5,5,6,6,5,5,2,8,6,3,4,,5,very unsympathetic,5,5,4,very unsympathetic,8,7,5,5,,5,very unsympathetic,,5,4,3,4,4,3,4,
5,4,6,5,4,4,2,3,6,5,7,5,7,8,8,7,3,3,3,4,4,3,3,3,5,7,5,7,5,7,8,8,6,4,4,4,3,3,3,5,3,3,7,5,3,4,3,3,3,3,5,3,5,8,6,3,5,3,3,definitely yes,4,4,definitely yes,
5,6,9,5,7,7,1,1,7,7,7,7,9,8,9,8,8,6,6,9,4,7,7,1,1,8,8,7,7,9,8,8,8,8,6,1,8,2,very unsympathetic,8,3,very unsympathetic,6,4,1,7,5,6,5,1,7,6,3,7,6,4,7,2,definitely no,3,4,definitely yes,4,
6,,6,7,6,6,5,5,5,7,7,7,7,7,7,8,7,6,6,6,6,6,6,6,6,5,7,7,8,7,7,7,8,7,,,,,,,,,,very unsympathetic,very unsympathetic,,,,,,,,,,,,,4,definitely yes,3,definitely no,2,3,
6,6,7,7,6,6,7,5,5,7,6,7,7,7,6,7,7,5,5,6,6,5,5,6,5,5,7,6,7,7,6,6,7,,5,7,5,7,7,6,6,6,5,5,5,5,7,5,6,7,6,6,,4,5,,,4,2,4,4,3,3,
7,7,6,7,6,6,5,6,4,5,7,7,7,7,6,6,5,,,,,,,,,,6,7,7,7,7,6,7,5,6,7,5,6,7,6,6,5,4,very unsympathetic,6,7,6,4,6,7,6,7,5,4,very unsympathetic,6,4,3,4,definitely yes,3,definitely yes,definitely yes,
5,6,2,2,2,2,3,7,8,9,5,9,7,5,4,6,3,3,4,2,3,3,2,4,5,6,8,6,7,7,5,4,6,4,4,5,3,2,3,4,4,9,,very unsympathetic,,4,5,5,9,5,3,5,5,3,very unsympathetic,4,7,4,4,2,3,3,4,
7,6,7,7,6,7,5,6,6,7,7,7,8,6,6,7,7,7,7,6,6,6,6,7,7,7,7,7,6,7,7,7,7,7,7,5,,,,,7,8,,4,2,8,5,7,7,,,,7,7,2,,9,differences in income should decrease,definitely no,3,3,3,4,
4,4,3,5,4,4,4,4,5,6,7,7,7,6,7,7,7,4,4,5,5,5,5,5,5,6,6,7,6,7,7,8,8,8,4,3,3,8,7,,5,4,8,7,4,4,4,4,8,8,7,6,,9,7,,6,4,definitely no,definitely yes,4,definitely yes,definitely yes,
7,7,6,7,7,6,6,7,6,7,7,8,8,7,6,7,5,7,7,6,7,7,7,6,6,7,8,8,8,8,7,6,7,6,7,7,6,7,6,6,7,,6,3,3,8,7,6,7,6,6,7,,7,3,,,3,3,definitely yes,3,4,definitely yes,
